Feature,Importance
cat__customer_city_morro da fumaca,0.0
cat__customer_city_morro da garca,0.0
cat__customer_city_morro de sao paulo,0.0
cat__customer_city_morro do chapeu,0.0
cat__customer_city_morro do ferro,0.0
cat__customer_city_morro do pilar,0.0
cat__customer_city_morro grande,0.0
cat__customer_city_morro vermelho,0.0
cat__customer_city_monte santo de minas,0.0
cat__customer_city_monte mor,0.0
cat__customer_city_moncoes,0.0
cat__customer_city_monte gordo,0.0
cat__customer_city_mondai,0.0
cat__customer_city_mongagua,0.0
cat__customer_city_monnerat,0.0
cat__customer_city_monsenhor paulo,0.0
cat__customer_city_monsenhor tabosa,0.0
cat__customer_city_montalvania,0.0
cat__customer_city_montanha,0.0
cat__customer_city_montanhas,0.0
cat__customer_city_montauri,0.0
cat__customer_city_monte alegre,0.0
cat__customer_city_monte alegre de minas,0.0
cat__customer_city_monte alegre de sergipe,0.0
cat__customer_city_monte alegre do sul,0.0
cat__customer_city_monte alto,0.0
cat__customer_city_monte alverne,0.0
cat__customer_city_monte aprazivel,0.0
cat__customer_city_monte azul,0.0
cat__customer_city_monte azul paulista,0.0
cat__customer_city_monte belo,0.0
cat__customer_city_monte belo do sul,0.0
cat__customer_city_monte bonito,0.0
cat__customer_city_monte carlo,0.0
cat__customer_city_monte carmelo,0.0
cat__customer_city_monte castelo,0.0
cat__customer_city_monte formoso,0.0
cat__customer_city_matupa,0.0
cat__customer_city_matrincha,0.0
cat__customer_city_papagaios,0.0
cat__customer_city_manoel urbano,0.0
cat__customer_city_manaus,0.0
cat__customer_city_mandaguacu,0.0
cat__customer_city_mandaguari,0.0
cat__customer_city_mandirituba,0.0
cat__customer_city_manduri,0.0
cat__customer_city_manfrinopolis,0.0
cat__customer_city_manga,0.0
cat__customer_city_mangaratiba,0.0
cat__customer_city_mangueirinha,0.0
